,pclass,sex,fare,age,survived
0,1.0,0,211.3375,29.0,1.0
1,1.0,1,151.55,0.9167,1.0
2,1.0,0,151.55,2.0,0.0
3,1.0,1,151.55,30.0,0.0
4,1.0,0,151.55,25.0,0.0
5,1.0,1,26.55,48.0,1.0
6,1.0,0,77.9583,63.0,1.0
7,1.0,1,0.0,39.0,0.0
8,1.0,0,51.4792,53.0,1.0
9,1.0,1,49.5042,71.0,0.0
10,1.0,1,227.525,47.0,0.0
11,1.0,0,227.525,18.0,1.0
12,1.0,0,69.3,24.0,1.0
13,1.0,0,78.85,26.0,1.0
14,1.0,1,30.0,80.0,1.0
16,1.0,1,247.5208,24.0,0.0
17,1.0,0,247.5208,50.0,1.0
18,1.0,0,76.2917,32.0,1.0
19,1.0,1,75.2417,36.0,0.0
20,1.0,1,52.5542,37.0,1.0
21,1.0,0,52.5542,47.0,1.0
22,1.0,1,30.0,26.0,1.0
23,1.0,0,227.525,42.0,1.0
24,1.0,0,221.7792,29.0,1.0
25,1.0,1,26.0,25.0,0.0
26,1.0,1,91.0792,25.0,1.0
27,1.0,0,91.0792,19.0,1.0
28,1.0,0,135.6333,35.0,1.0
29,1.0,1,26.55,28.0,1.0
30,1.0,1,35.5,45.0,0.0
31,1.0,1,31.0,40.0,1.0
32,1.0,0,164.8667,30.0,1.0
33,1.0,0,26.55,58.0,1.0
34,1.0,1,26.55,42.0,0.0
35,1.0,0,262.375,45.0,1.0
36,1.0,0,55.0,22.0,1.0
38,1.0,1,30.5,41.0,0.0
39,1.0,1,50.4958,48.0,0.0
41,1.0,0,27.7208,44.0,1.0
42,1.0,0,51.4792,59.0,1.0
43,1.0,0,76.2917,60.0,1.0
44,1.0,0,134.5,41.0,1.0
45,1.0,1,26.55,45.0,0.0
47,1.0,1,26.2875,42.0,1.0
48,1.0,0,27.4458,53.0,1.0
49,1.0,1,512.3292,36.0,1.0
50,1.0,0,512.3292,58.0,1.0
51,1.0,1,5.0,33.0,0.0
52,1.0,1,47.1,28.0,0.0
53,1.0,1,47.1,17.0,0.0
54,1.0,1,120.0,11.0,1.0
55,1.0,0,120.0,14.0,1.0
56,1.0,1,120.0,36.0,1.0
57,1.0,0,120.0,36.0,1.0
58,1.0,1,26.0,49.0,0.0
60,1.0,1,78.85,36.0,0.0
61,1.0,0,78.85,76.0,1.0
62,1.0,1,61.175,46.0,0.0
63,1.0,0,61.175,47.0,1.0
64,1.0,1,53.1,27.0,1.0
65,1.0,0,53.1,33.0,1.0
66,1.0,0,262.375,36.0,1.0
67,1.0,0,86.5,30.0,1.0
68,1.0,1,29.7,45.0,1.0
71,1.0,1,136.7792,27.0,0.0
72,1.0,0,136.7792,26.0,1.0
73,1.0,0,151.55,22.0,1.0
75,1.0,1,25.5875,47.0,0.0
76,1.0,0,83.1583,39.0,1.0
77,1.0,1,83.1583,37.0,0.0
78,1.0,0,83.1583,64.0,1.0
79,1.0,0,25.7,55.0,1.0
81,1.0,1,71.0,70.0,0.0
82,1.0,0,71.0,36.0,1.0
83,1.0,0,26.55,64.0,1.0
84,1.0,1,71.2833,39.0,0.0
85,1.0,0,71.2833,38.0,1.0
86,1.0,1,26.55,51.0,1.0
87,1.0,1,30.5,27.0,1.0
88,1.0,0,151.55,33.0,1.0
89,1.0,1,52.0,31.0,0.0
90,1.0,0,52.0,27.0,1.0
91,1.0,1,57.0,31.0,1.0
92,1.0,0,57.0,17.0,1.0
93,1.0,1,81.8583,53.0,1.0
94,1.0,1,81.8583,4.0,1.0
95,1.0,0,81.8583,54.0,1.0
96,1.0,1,106.425,50.0,0.0
97,1.0,0,247.5208,27.0,1.0
98,1.0,0,106.425,48.0,1.0
99,1.0,0,39.6,48.0,1.0
100,1.0,1,56.9292,49.0,1.0
101,1.0,1,29.7,39.0,0.0
102,1.0,0,83.1583,23.0,1.0
103,1.0,0,227.525,38.0,1.0
104,1.0,0,78.2667,54.0,1.0
105,1.0,0,31.6792,36.0,0.0
109,1.0,1,26.3875,36.0,1.0
110,1.0,1,27.75,30.0,0.0
111,1.0,0,263.0,24.0,1.0
112,1.0,0,263.0,28.0,1.0
113,1.0,0,263.0,23.0,1.0
114,1.0,1,263.0,19.0,0.0
115,1.0,1,263.0,64.0,0.0
116,1.0,0,263.0,60.0,1.0
117,1.0,0,56.9292,30.0,1.0
119,1.0,1,133.65,50.0,1.0
120,1.0,1,27.7208,43.0,1.0
122,1.0,0,49.5,22.0,1.0
123,1.0,1,79.2,60.0,1.0
124,1.0,0,79.2,48.0,1.0
126,1.0,1,53.1,37.0,0.0
127,1.0,0,53.1,35.0,1.0
128,1.0,1,38.5,47.0,0.0
129,1.0,0,211.5,35.0,1.0
130,1.0,0,59.4,22.0,1.0
131,1.0,0,59.4,45.0,1.0
132,1.0,1,79.2,24.0,0.0
133,1.0,1,89.1042,49.0,1.0
135,1.0,1,34.6542,71.0,0.0
136,1.0,1,28.5,53.0,1.0
137,1.0,0,30.0,19.0,1.0
138,1.0,1,153.4625,38.0,0.0
139,1.0,0,153.4625,58.0,1.0
140,1.0,1,63.3583,23.0,1.0
141,1.0,0,63.3583,45.0,1.0
142,1.0,1,79.2,46.0,0.0
143,1.0,1,55.4417,25.0,1.0
144,1.0,0,55.4417,25.0,1.0
145,1.0,1,76.7292,48.0,1.0
146,1.0,0,76.7292,49.0,1.0
148,1.0,1,83.475,45.0,0.0
149,1.0,0,83.475,35.0,1.0
150,1.0,1,0.0,40.0,0.0
151,1.0,1,76.7292,27.0,1.0
153,1.0,0,83.1583,24.0,1.0
154,1.0,1,93.5,55.0,0.0
155,1.0,0,93.5,52.0,1.0
156,1.0,1,42.5,42.0,0.0
158,1.0,1,50.0,55.0,0.0
159,1.0,0,57.9792,16.0,1.0
160,1.0,0,57.9792,44.0,1.0
161,1.0,0,77.9583,51.0,1.0
162,1.0,1,52.0,42.0,0.0
163,1.0,0,52.0,35.0,1.0
164,1.0,1,26.55,35.0,1.0
165,1.0,1,90.0,38.0,1.0
167,1.0,0,90.0,35.0,1.0
168,1.0,0,80.0,38.0,1.0
169,1.0,0,28.7125,50.0,0.0
170,1.0,1,0.0,49.0,1.0
171,1.0,1,26.0,46.0,0.0
172,1.0,1,26.0,50.0,0.0
173,1.0,1,211.5,32.5,0.0
174,1.0,1,29.7,58.0,0.0
175,1.0,1,51.8625,41.0,0.0
177,1.0,1,52.5542,42.0,1.0
178,1.0,0,52.5542,45.0,1.0
180,1.0,0,211.3375,39.0,1.0
181,1.0,0,25.9292,49.0,1.0
182,1.0,0,106.425,30.0,1.0
183,1.0,1,512.3292,35.0,1.0
185,1.0,1,26.55,42.0,0.0
186,1.0,0,27.7208,55.0,1.0
187,1.0,0,39.4,16.0,1.0
188,1.0,0,39.4,51.0,1.0
189,1.0,1,30.0,29.0,0.0
190,1.0,0,77.9583,21.0,1.0
191,1.0,1,45.5,30.0,0.0
192,1.0,0,146.5208,58.0,1.0
193,1.0,0,211.3375,15.0,1.0
194,1.0,1,26.0,30.0,0.0
195,1.0,0,86.5,16.0,1.0
197,1.0,1,53.1,19.0,0.0
198,1.0,0,53.1,18.0,1.0
199,1.0,0,49.5042,24.0,1.0
200,1.0,1,75.2417,46.0,0.0
201,1.0,1,51.8625,54.0,0.0
202,1.0,1,26.2875,36.0,1.0
203,1.0,1,82.1708,28.0,0.0
205,1.0,1,26.55,65.0,0.0
206,1.0,1,90.0,44.0,0.0
207,1.0,0,90.0,33.0,1.0
208,1.0,0,90.0,37.0,1.0
209,1.0,1,57.75,30.0,1.0
210,1.0,1,30.5,55.0,0.0
211,1.0,1,42.4,47.0,0.0
212,1.0,1,29.7,37.0,0.0
213,1.0,0,113.275,31.0,1.0
214,1.0,0,113.275,23.0,1.0
215,1.0,1,113.275,58.0,0.0
216,1.0,0,26.2833,19.0,1.0
217,1.0,1,26.0,64.0,0.0
218,1.0,0,108.9,39.0,1.0
220,1.0,0,61.9792,22.0,1.0
221,1.0,1,61.9792,65.0,0.0
222,1.0,1,27.7208,28.5,0.0
224,1.0,1,28.5,45.5,0.0
225,1.0,1,93.5,23.0,0.0
226,1.0,1,66.6,29.0,0.0
227,1.0,0,66.6,22.0,1.0
228,1.0,1,108.9,18.0,0.0
229,1.0,0,108.9,17.0,1.0
230,1.0,0,93.5,30.0,1.0
231,1.0,1,30.5,52.0,1.0
232,1.0,1,52.0,47.0,0.0
233,1.0,0,83.1583,56.0,1.0
234,1.0,1,0.0,38.0,0.0
236,1.0,1,135.6333,22.0,0.0
238,1.0,0,211.3375,43.0,1.0
239,1.0,1,50.4958,31.0,0.0
240,1.0,1,26.55,45.0,1.0
242,1.0,0,27.7208,33.0,1.0
243,1.0,1,79.2,46.0,0.0
244,1.0,1,40.125,36.0,0.0
245,1.0,0,86.5,33.0,1.0
246,1.0,1,59.4,55.0,0.0
247,1.0,0,59.4,54.0,1.0
248,1.0,1,26.55,33.0,0.0
249,1.0,1,262.375,13.0,1.0
250,1.0,0,262.375,18.0,1.0
251,1.0,0,262.375,21.0,1.0
252,1.0,1,262.375,61.0,0.0
253,1.0,0,262.375,48.0,1.0
255,1.0,0,69.3,24.0,1.0
257,1.0,0,57.75,35.0,1.0
258,1.0,0,31.0,30.0,1.0
259,1.0,1,26.55,34.0,1.0
260,1.0,0,153.4625,40.0,1.0
261,1.0,1,26.2875,35.0,1.0
262,1.0,1,55.9,50.0,0.0
263,1.0,0,55.9,39.0,1.0
264,1.0,1,35.5,56.0,1.0
265,1.0,1,35.5,28.0,1.0
266,1.0,1,26.55,56.0,0.0
267,1.0,1,30.6958,56.0,0.0
268,1.0,1,60.0,24.0,0.0
270,1.0,0,60.0,18.0,1.0
271,1.0,1,82.2667,24.0,1.0
272,1.0,0,82.2667,23.0,1.0
273,1.0,1,134.5,6.0,1.0
274,1.0,1,134.5,45.0,1.0
275,1.0,0,134.5,40.0,1.0
276,1.0,1,146.5208,57.0,0.0
278,1.0,1,30.5,32.0,1.0
279,1.0,1,26.55,62.0,0.0
280,1.0,1,55.4417,54.0,1.0
281,1.0,0,55.4417,43.0,1.0
282,1.0,0,78.2667,52.0,1.0
284,1.0,0,80.0,62.0,1.0
285,1.0,1,221.7792,67.0,0.0
286,1.0,0,221.7792,63.0,0.0
287,1.0,1,32.3208,61.0,0.0
288,1.0,0,25.9292,48.0,1.0
289,1.0,0,79.65,18.0,1.0
290,1.0,1,79.65,52.0,0.0
291,1.0,0,79.65,39.0,1.0
292,1.0,1,52.0,48.0,1.0
294,1.0,1,110.8833,49.0,0.0
295,1.0,1,110.8833,17.0,1.0
296,1.0,0,110.8833,39.0,1.0
298,1.0,1,28.5375,31.0,1.0
299,1.0,1,27.7208,40.0,0.0
300,1.0,1,33.5,61.0,0.0
301,1.0,1,34.0208,47.0,0.0
302,1.0,0,512.3292,35.0,1.0
303,1.0,1,75.25,64.0,0.0
304,1.0,0,75.25,60.0,1.0
305,1.0,1,26.55,60.0,0.0
306,1.0,1,77.2875,54.0,0.0
307,1.0,1,77.2875,21.0,0.0
308,1.0,0,135.6333,55.0,1.0
309,1.0,0,164.8667,31.0,1.0
310,1.0,1,164.8667,57.0,0.0
311,1.0,0,164.8667,45.0,1.0
312,1.0,1,211.5,50.0,0.0
313,1.0,1,211.5,27.0,0.0
314,1.0,0,211.5,50.0,1.0
315,1.0,0,26.55,21.0,1.0
316,1.0,1,61.3792,51.0,0.0
317,1.0,1,61.3792,21.0,1.0
319,1.0,0,134.5,31.0,1.0
321,1.0,1,26.55,62.0,0.0
322,1.0,0,135.6333,36.0,1.0
323,2.0,1,24.0,30.0,0.0
324,2.0,0,24.0,28.0,1.0
325,2.0,1,13.0,30.0,0.0
326,2.0,1,11.5,18.0,0.0
327,2.0,1,10.5,25.0,0.0
328,2.0,1,26.0,34.0,0.0
329,2.0,0,26.0,36.0,1.0
330,2.0,1,13.0,57.0,0.0
331,2.0,1,11.5,18.0,0.0
332,2.0,1,10.5,23.0,0.0
333,2.0,0,13.0,36.0,1.0
334,2.0,1,10.5,28.0,0.0
335,2.0,1,12.525,51.0,0.0
336,2.0,1,26.0,32.0,1.0
337,2.0,0,26.0,19.0,1.0
338,2.0,1,26.0,28.0,0.0
339,2.0,1,39.0,1.0,1.0
340,2.0,0,39.0,4.0,1.0
341,2.0,0,39.0,12.0,1.0
342,2.0,0,39.0,36.0,1.0
343,2.0,1,13.0,34.0,1.0
344,2.0,0,13.0,19.0,1.0
345,2.0,1,13.0,23.0,0.0
346,2.0,1,13.0,26.0,0.0
347,2.0,1,13.0,42.0,0.0
348,2.0,1,13.0,27.0,0.0
349,2.0,0,13.0,24.0,1.0
350,2.0,0,39.0,15.0,1.0
351,2.0,1,39.0,60.0,0.0
352,2.0,0,39.0,40.0,1.0
353,2.0,0,26.0,20.0,1.0
354,2.0,1,26.0,25.0,0.0
355,2.0,0,13.0,36.0,1.0
356,2.0,1,13.0,25.0,0.0
357,2.0,1,13.0,42.0,0.0
358,2.0,0,13.0,42.0,1.0
359,2.0,1,29.0,0.8333,1.0
360,2.0,1,29.0,26.0,1.0
361,2.0,0,29.0,22.0,1.0
362,2.0,0,21.0,35.0,1.0
364,2.0,1,13.0,19.0,0.0
365,2.0,0,26.0,44.0,0.0
366,2.0,1,26.0,54.0,0.0
367,2.0,1,13.5,52.0,0.0
368,2.0,1,26.0,37.0,0.0
369,2.0,0,26.0,29.0,0.0
370,2.0,0,30.0,25.0,1.0
371,2.0,0,30.0,45.0,1.0
372,2.0,1,26.0,29.0,0.0
373,2.0,0,26.0,28.0,1.0
374,2.0,1,10.5,29.0,0.0
375,2.0,1,13.0,28.0,0.0
376,2.0,1,10.5,24.0,1.0
377,2.0,0,26.25,8.0,1.0
378,2.0,1,26.25,31.0,0.0
379,2.0,0,26.25,31.0,1.0
380,2.0,0,10.5,22.0,1.0
381,2.0,0,13.0,30.0,0.0
383,2.0,1,11.5,21.0,0.0
385,2.0,1,36.75,8.0,1.0
386,2.0,1,73.5,18.0,0.0
387,2.0,0,36.75,48.0,1.0
388,2.0,0,13.0,28.0,1.0
389,2.0,1,13.0,32.0,0.0
390,2.0,1,73.5,17.0,0.0
391,2.0,1,27.7208,29.0,0.0
392,2.0,0,27.7208,24.0,1.0
393,2.0,1,31.5,25.0,0.0
394,2.0,1,73.5,18.0,0.0
395,2.0,0,23.0,18.0,1.0
396,2.0,0,23.0,34.0,1.0
397,2.0,1,26.0,54.0,0.0
398,2.0,1,32.5,8.0,1.0
399,2.0,1,32.5,42.0,0.0
400,2.0,0,32.5,34.0,1.0
401,2.0,0,13.8583,27.0,1.0
402,2.0,0,13.8583,30.0,1.0
403,2.0,1,13.0,23.0,0.0
404,2.0,1,13.0,21.0,0.0
405,2.0,1,13.0,18.0,0.0
406,2.0,1,26.0,40.0,0.0
407,2.0,0,26.0,29.0,1.0
408,2.0,1,10.5,18.0,0.0
409,2.0,1,13.0,36.0,0.0
411,2.0,0,13.0,38.0,0.0
412,2.0,1,26.0,35.0,0.0
413,2.0,1,21.0,38.0,0.0
414,2.0,1,21.0,34.0,0.0
415,2.0,0,13.0,34.0,1.0
416,2.0,1,26.0,16.0,0.0
417,2.0,1,10.5,26.0,0.0
418,2.0,1,10.5,47.0,0.0
419,2.0,1,11.5,21.0,0.0
420,2.0,1,11.5,21.0,0.0
421,2.0,1,13.5,24.0,0.0
422,2.0,1,13.0,24.0,0.0
423,2.0,1,13.0,34.0,0.0
424,2.0,1,13.0,30.0,0.0
425,2.0,1,13.0,52.0,0.0
426,2.0,1,13.0,30.0,0.0
427,2.0,1,14.5,0.6667,1.0
428,2.0,0,14.5,24.0,1.0
429,2.0,1,13.0,44.0,0.0
430,2.0,0,33.0,6.0,1.0
431,2.0,1,33.0,28.0,0.0
432,2.0,1,10.5,62.0,1.0
433,2.0,1,10.5,30.0,0.0
434,2.0,0,26.25,7.0,1.0
435,2.0,1,26.25,43.0,0.0
436,2.0,0,26.25,45.0,1.0
437,2.0,0,65.0,24.0,1.0
438,2.0,0,65.0,24.0,1.0
439,2.0,1,65.0,49.0,0.0
440,2.0,0,65.0,48.0,1.0
441,2.0,0,16.0,55.0,1.0
442,2.0,1,73.5,24.0,0.0
443,2.0,1,73.5,32.0,0.0
444,2.0,1,73.5,21.0,0.0
445,2.0,0,13.0,18.0,0.0
446,2.0,0,23.0,20.0,1.0
447,2.0,1,11.5,23.0,0.0
448,2.0,1,13.0,36.0,0.0
449,2.0,0,23.0,54.0,1.0
450,2.0,1,13.0,50.0,0.0
451,2.0,1,26.0,44.0,0.0
452,2.0,0,26.0,29.0,1.0
453,2.0,1,73.5,21.0,0.0
454,2.0,1,13.0,42.0,1.0
455,2.0,1,26.0,63.0,0.0
456,2.0,0,26.0,60.0,0.0
457,2.0,1,12.275,33.0,0.0
458,2.0,0,10.5,17.0,1.0
459,2.0,1,27.0,42.0,0.0
460,2.0,0,27.0,24.0,1.0
461,2.0,1,15.0,47.0,0.0
462,2.0,1,31.5,24.0,0.0
463,2.0,1,31.5,22.0,0.0
464,2.0,1,10.5,32.0,0.0
465,2.0,0,13.7917,23.0,1.0
466,2.0,1,26.0,34.0,0.0
467,2.0,0,26.0,24.0,1.0
468,2.0,0,21.0,22.0,0.0
470,2.0,1,12.35,35.0,0.0
471,2.0,0,13.5,45.0,1.0
472,2.0,1,12.35,57.0,0.0
474,2.0,1,10.5,31.0,0.0
475,2.0,0,26.0,26.0,0.0
476,2.0,1,26.0,30.0,0.0
478,2.0,0,41.5792,1.0,1.0
479,2.0,0,41.5792,3.0,1.0
480,2.0,1,41.5792,25.0,0.0
481,2.0,0,41.5792,22.0,1.0
482,2.0,0,12.0,17.0,1.0
484,2.0,0,10.5,34.0,1.0
485,2.0,1,12.875,36.0,0.0
486,2.0,1,10.5,24.0,0.0
487,2.0,1,12.35,61.0,0.0
488,2.0,1,26.0,50.0,0.0
489,2.0,0,26.0,42.0,1.0
490,2.0,0,10.5,57.0,0.0
492,2.0,1,37.0042,1.0,1.0
493,2.0,1,37.0042,31.0,0.0
494,2.0,0,37.0042,24.0,1.0
496,2.0,1,13.0,30.0,0.0
497,2.0,1,16.0,40.0,0.0
498,2.0,1,13.5,32.0,0.0
499,2.0,1,13.0,30.0,0.0
500,2.0,1,26.0,46.0,0.0
501,2.0,0,19.5,13.0,1.0
502,2.0,0,19.5,41.0,1.0
503,2.0,1,10.5,19.0,1.0
504,2.0,1,13.0,39.0,0.0
505,2.0,1,13.0,48.0,0.0
506,2.0,1,10.5,70.0,0.0
507,2.0,1,13.0,27.0,0.0
508,2.0,1,14.0,54.0,0.0
509,2.0,1,26.0,39.0,0.0
510,2.0,1,10.5,16.0,0.0
511,2.0,1,9.6875,62.0,0.0
512,2.0,1,30.0708,32.5,0.0
513,2.0,0,30.0708,14.0,1.0
514,2.0,1,26.0,2.0,1.0
515,2.0,1,26.0,3.0,1.0
516,2.0,1,26.0,36.5,0.0
517,2.0,1,13.0,26.0,0.0
518,2.0,1,36.75,19.0,0.0
519,2.0,1,13.5,28.0,0.0
520,2.0,1,13.8625,20.0,1.0
521,2.0,0,10.5,29.0,1.0
522,2.0,1,13.0,39.0,0.0
523,2.0,1,10.5,22.0,1.0
525,2.0,1,10.5,23.0,0.0
526,2.0,1,13.8583,29.0,1.0
527,2.0,1,10.5,28.0,0.0
529,2.0,0,26.0,50.0,1.0
530,2.0,1,10.5,19.0,0.0
532,2.0,1,13.0,41.0,0.0
533,2.0,0,21.0,21.0,1.0
534,2.0,0,26.0,19.0,1.0
535,2.0,1,21.0,43.0,0.0
536,2.0,0,13.0,32.0,1.0
537,2.0,1,13.0,34.0,0.0
538,2.0,1,12.7375,30.0,1.0
539,2.0,1,15.0333,27.0,0.0
540,2.0,0,26.0,2.0,1.0
541,2.0,0,26.0,8.0,1.0
542,2.0,0,26.0,33.0,1.0
543,2.0,1,10.5,36.0,0.0
544,2.0,1,21.0,34.0,0.0
545,2.0,0,21.0,30.0,1.0
546,2.0,0,13.0,28.0,1.0
547,2.0,1,15.0458,23.0,0.0
548,2.0,1,18.75,0.8333,1.0
549,2.0,1,18.75,3.0,1.0
550,2.0,0,18.75,24.0,1.0
551,2.0,0,10.5,50.0,1.0
552,2.0,1,10.5,19.0,0.0
553,2.0,0,10.5,21.0,1.0
554,2.0,1,13.0,26.0,0.0
555,2.0,1,13.0,25.0,0.0
556,2.0,1,26.0,27.0,0.0
557,2.0,0,26.0,25.0,1.0
558,2.0,0,13.0,18.0,1.0
559,2.0,0,36.75,20.0,1.0
560,2.0,0,13.0,30.0,1.0
561,2.0,1,13.5,59.0,0.0
562,2.0,0,12.35,30.0,1.0
563,2.0,1,10.5,35.0,0.0
564,2.0,0,13.0,40.0,1.0
565,2.0,1,13.0,25.0,0.0
566,2.0,1,15.0458,41.0,0.0
567,2.0,1,10.5,25.0,0.0
568,2.0,1,13.0,18.5,0.0
569,2.0,1,65.0,14.0,0.0
570,2.0,0,10.5,50.0,1.0
571,2.0,1,13.0,23.0,0.0
572,2.0,0,12.65,28.0,1.0
573,2.0,0,10.5,27.0,1.0
574,2.0,1,21.0,29.0,0.0
575,2.0,0,21.0,27.0,0.0
576,2.0,1,13.0,40.0,0.0
577,2.0,0,21.0,31.0,1.0
578,2.0,1,21.0,30.0,0.0
